DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ
02:48:10.742027;ec2-52-45-210-128.compute-1.amazonaws;https;oklm-VirtualBox.55492:;.;
02:48:10.756156;123.208.120;https;oklm-VirtualBox.54294:;F.;4698
02:48:10.756182;oklm-VirtualBox.54294;54294;123.208.120.34.bc.googleusercontent.com.https:;.;
02:48:10.756294;209.100.149;https;oklm-VirtualBox.50386:;F.;165478
02:48:10.756301;oklm-VirtualBox.50386;50386;209.100.149.34.bc.googleusercontent.com.https:;.;
02:48:10.756344;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;1101:1125
02:48:10.756345;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;F.;1125
02:48:10.756389;server-54-192-65-12.mrs52.r;http;oklm-VirtualBox.46684:;F.;945
02:48:10.756397;oklm-VirtualBox.46684;46684;server-54-192-65-12.mrs52.r.cloudfront.net.http:;.;
02:48:10.756440;a92-123-236-145.deploy.static;http;oklm-VirtualBox.51226:;F.;1777
02:48:10.756447;oklm-VirtualBox.51226;51226;a92-123-236-145.deploy.static.akamaitechnologies.com.http:;.;
02:48:10.756489;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;F.;304
02:48:10.756492;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;1228:1252
02:48:10.756493;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;F.;1252
02:48:10.756518;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;F.;302
02:48:10.756629;oklm-VirtualBox.58244;58244;192.229.221.95.http:;F.;1273
02:48:10.756741;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;P.;1082:1113
02:48:10.756803;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;F.;1113
02:48:10.756936;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:10.756948;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:10.756964;82.221.107;http;oklm-VirtualBox.55592:;.;
02:48:10.756970;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:10.756973;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:10.757923;82.221.107;http;oklm-VirtualBox.55578:;.;
02:48:10.757950;192.229.221;http;oklm-VirtualBox.58244:;.;
02:48:10.757957;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;
02:48:10.757960;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;
02:48:10.767282;239.237.117;https;oklm-VirtualBox.44280:;F.;6741
02:48:10.767309;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;.;
02:48:10.769586;82.221.107;http;oklm-VirtualBox.55592:;F.;217
02:48:10.769615;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:10.769668;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;F.;25316
02:48:10.769675;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:10.769717;82.221.107;http;oklm-VirtualBox.55578:;F.;299
02:48:10.769724;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:10.775906;192.229.221;http;oklm-VirtualBox.58244:;F.;2212
02:48:10.775931;oklm-VirtualBox.58244;58244;192.229.221.95.http:;.;
02:48:10.866683;ec2-52-45-210-128.compute-1.amazonaws;https;oklm-VirtualBox.55492:;F.;7517
02:48:10.866726;oklm-VirtualBox.55492;55492;ec2-52-45-210-128.compute-1.amazonaws.com.https:;.;
02:48:10.944216;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;P.;4053:4084
02:48:10.944241;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;R;1809308632
02:48:10.944298;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;F.;4084
02:48:10.944305;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;R;1809308632
02:48:10.946753;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;R.;4148151295
02:48:23.479361;oklm-VirtualBox.55667;55667;bbox.lan.domain:;1au;
02:48:23.514394;bbox.lan.domain;domain;oklm-VirtualBox.55667:;;
02:48:23.516167;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:23.581110;oklm-VirtualBox.39040;39040;bbox.lan.domain:;1au;
02:48:23.671139;bbox.lan.domain;domain;oklm-VirtualBox.39040:;;
02:48:23.673577;oklm-VirtualBox.39040;39040;bbox.lan.domain:;;
02:48:23.720395;bbox.lan.domain;domain;oklm-VirtualBox.39040:;;
02:48:24.532120;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:25.556080;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:26.591924;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:27.604071;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:28.630428;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:30.644890;oklm-VirtualBox.34292;34292;162.213.33.48.https:;S;2072303755
02:48:32.857684;Request;Request;_gateway;;
02:48:32.858477;Reply;Reply;is-at;;
