DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ
02:48:08.697017;oklm-VirtualBox.51226;51226;a92-123-236-145.deploy.static.akamaitechnologies.com.http:;.;
02:48:08.702514;ec2-52-45-210-128.compute-1.amazonaws;https;oklm-VirtualBox.55492:;S.;147648001
02:48:08.702620;oklm-VirtualBox.55492;55492;ec2-52-45-210-128.compute-1.amazonaws.com.https:;.;
02:48:08.726678;oklm-VirtualBox.43180;43180;bbox.lan.domain:;1au;
02:48:08.755388;oklm-VirtualBox.55492;55492;ec2-52-45-210-128.compute-1.amazonaws.com.https:;P.;1:518
02:48:08.755966;ec2-52-45-210-128.compute-1.amazonaws;https;oklm-VirtualBox.55492:;.;
02:48:08.768079;bbox.lan.domain;domain;oklm-VirtualBox.43180:;;
02:48:08.779583;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;1109:1189
02:48:08.780562;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:08.817224;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;518:582
02:48:08.818496;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:08.829465;239.237.117;https;oklm-VirtualBox.44280:;P.;4518:5104
02:48:08.829491;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;.;
02:48:08.846667;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;582:752
02:48:08.847392;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:08.847707;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;752:992
02:48:08.848586;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:08.849592;oklm-VirtualBox.44280;44280;239.237.117.34.bc.googleusercontent.com.https:;P.;992:1023
02:48:08.850665;239.237.117;https;oklm-VirtualBox.44280:;.;
02:48:08.886249;239.237.117;https;oklm-VirtualBox.44280:;P.;5104:5135
02:48:08.886277;ec2-52-45-210-128.compute-1.amazonaws;https;oklm-VirtualBox.55492:;.;1:2921
